sample,word,actual_count,actual_probability,iid_probability,deviation_actual_minus_iid,standardized_residual,absolute_deviation_rank
ESCAPE,"1,1,1,1",52540,0.32245393953528334,0.32010878488889183,0.002345154646391512,2.0291500635659743,1
ESCAPE,"2,1,2,1",3203,0.019657783942358443,0.02045516501750153,-0.000797381075143086,-2.2738586358059827,2
ESCAPE,"1,2,1,1",12758,0.07829972136640931,0.07759297981685813,0.0007067415495511792,1.0663488377752588,3
ESCAPE,"1,1,1,3+",4294,0.026353582344204544,0.027025218508367872,-0.0006716361641633285,-1.6718983309759299,4
ESCAPE,"1,1,1,2",12804,0.07858203733935608,0.0779123606090289,0.0006696767303271817,1.0085260431701792,5
ESCAPE,"3+,2,1,1",1069,0.006560777719132431,0.006205818619476631,0.0003549590996558003,1.8244910650714696,6
ESCAPE,"1,1,2,1",12750,0.07825062293633162,0.0779140008180712,0.0003366221182604101,0.5069444496219178,7
ESCAPE,"2,1,1,2",3226,0.019798941928831824,0.019475661629677166,0.0003232802991546581,0.9443111781619757,8
ESCAPE,"3+,1,2,1",1027,0.006303010961224514,0.006589651796199216,-0.0002866408349747017,-1.4300580851146159,9
ESCAPE,"1,3+,1,2",1091,0.006695798401846101,0.006418456976757596,0.0002773414250885047,1.4018736041418565,10
all_starting_values,"3+,3+,3+,1",8188,0.007808685302734375,0.0078125,-3.814697265625e-06,-0.04436782547080569,1
all_starting_values,"3+,3+,3+,2",4099,0.003909111022949219,0.00390625,2.86102294921875e-06,0.046966821831386216,2
all_starting_values,"1,3+,3+,2",8194,0.007814407348632812,0.0078125,1.9073486328125e-06,0.022183912735402846,3
all_starting_values,"1,3+,3+,3+",8190,0.0078105926513671875,0.0078125,-1.9073486328125e-06,-0.022183912735402846,4
all_starting_values,"2,3+,3+,3+",4098,0.0039081573486328125,0.00390625,1.9073486328125e-06,0.03131121455425748,5
all_starting_values,"1,2,3+,2",8191,0.007811546325683594,0.0078125,-9.5367431640625e-07,-0.011091956367701423,6
all_starting_values,"1,2,3+,3+",8193,0.007813453674316406,0.0078125,9.5367431640625e-07,0.011091956367701423,7
all_starting_values,"1,3+,1,1",32767,0.031249046325683594,0.03125,-9.5367431640625e-07,-0.005612665688336716,8
all_starting_values,"1,3+,1,3+",16385,0.015625953674316406,0.015625,9.5367431640625e-07,0.0078742598543589,9
all_starting_values,"1,3+,2,1",16383,0.015624046325683594,0.015625,-9.5367431640625e-07,-0.0078742598543589,10
