block_len,regularization,full_rmse,full_kl_bits,full_js_bits,cluster_rmse,parity_rmse,theta_nonzero
3,0.0,0.000608152939277052,0.015594528734945204,0.0030120325314475288,0.0003592387017715327,0.003101214279716394,4860
3,0.5,0.000530328800703641,0.007876412474710631,0.0017202142937230473,0.00016511488043802013,0.003067256221485591,4860
3,0.75,0.0004931472122369517,0.00355390595423632,0.0008680730897350071,0.000347677212102394,0.002845601176274845,4860
3,0.9,0.0005592791160251082,0.003819800502437866,0.0009877242851171937,0.0007465586720193765,0.0026510947345252667,4860
4,0.0,0.0015075147933916355,0.054936137594735084,0.015727240344464922,0.0019819991489619542,0.0047592897985632154,14580
4,0.5,0.0008792362072970254,0.030970000473385464,0.005600491495410473,0.0008636611433320687,0.0034892962503028507,14580
4,0.75,0.0005689501308671995,0.009672050416112334,0.002074892887535065,0.00017862794158570407,0.003149119551523513,14580
4,0.9,0.0004973219354141792,0.0033187203952450713,0.0008212316262296601,0.00048380618822923866,0.0028109047851933924,14580
5,0.0,0.03541918102027776,20.574363304892167,0.978910099641531,0.07121754444613605,0.09524735716224846,42282
5,0.5,0.0016004754223950825,0.07514971287698637,0.012179829830122346,0.0018847196539833089,0.004249426547942851,42282
5,0.75,0.001005648060564266,0.03533597667916336,0.0064183006793909056,0.0009957239238306207,0.0036873629048642387,42282
5,0.9,0.0005291619721654854,0.006267927746282817,0.0014133191144901347,0.00011166222578041206,0.003091553136015994,42282
6,0.0,0.0397891758039992,29.959221825962985,0.9750502116395839,0.07274689328946606,0.0654294671042832,126846
6,0.5,0.0025107416947214864,0.1292731209303266,0.02201455487041299,0.003387904840178488,0.005316854439005588,126846
6,0.75,0.00175208489593695,0.09247751317500343,0.014430048510134236,0.0020262488120868466,0.004588995385468496,126846
6,0.9,0.0008143482919908292,0.017233840475413303,0.003574323681472728,0.0005922349569106236,0.0035538826456323683,126846
