block_len,alpha,scale_to_actual_total,full_rmse,full_kl_bits,full_js_bits,focus_actual_mass,focus_iid_mass,focus_predicted_mass,focus_error,focus_predicted_survival_ratio,focus_actual_survival_ratio,cluster_rmse,parity_rmse
3,0.0,0.9709086212162353,0.0006426487685064871,0.006238865486437144,0.0016616665103286238,0.0009205199182033517,0.0019483519187512319,0.0018916716750787652,0.0009711517568754134,0.9709086212162353,0.4724608061532055,0.0008237758641458988,0.002325753434530259
3,0.25,0.9988041002995169,0.00044097832069412134,0.0038646197516078924,0.000921815247256017,0.0009205199182033517,0.0019483519187512319,0.001063148693106526,0.0001426287749031743,0.5456656381604489,0.4724608061532055,0.0004270513535354823,0.00262762675373418
3,0.5,0.9848104658874909,0.000491880108075141,0.0037412626257826826,0.000929851710267422,0.0009205199182033517,0.0019483519187512319,0.0012480689456574026,0.00032754902745405086,0.6405767529191208,0.4724608061532055,0.0004974218307138795,0.0025911864109335395
3,0.75,0.9236678488782893,0.0011973364349681483,0.022464174847053046,0.006251045107881782,0.0009205199182033517,0.0019483519187512319,0.002736285472445949,0.0018157655542425971,1.40441028446223,0.4724608061532055,0.0015471973593084117,0.0023519498372142136
3,1.0,0.7635752265621862,0.003936657612222934,0.1751771546051962,0.052451311197380765,0.0009205199182033517,0.0019483519187512319,0.009311646000900233,0.008391126082696881,4.779242349025118,0.4724608061532055,0.00567835332263111,0.001937731738746458
4,0.0,0.9709086212162353,0.0006426487685064871,0.006238865486437144,0.0016616665103286238,0.0009205199182033517,0.0019483519187512319,0.0018916716750787652,0.0009711517568754134,0.9709086212162353,0.4724608061532055,0.0008237758641458988,0.002325753434530259
4,0.25,1.0204625154028695,0.0005268912243768735,0.012026090720679986,0.0024835121214852834,0.0009205199182033517,0.0019483519187512319,0.0006017018853729402,-0.0003188180328304116,0.30882607992019856,0.4724608061532055,0.0008989714381219797,0.0028030012385438507
4,0.5,0.9643026934936796,0.0007012945818998197,0.010441073511214245,0.0026317604592662963,0.0009205199182033517,0.0019483519187512319,0.0013049194980038381,0.0003843995798004864,0.6697555433621086,0.4724608061532055,0.0011375167404870253,0.0027007301488340477
4,0.75,0.693297198174771,0.005475824984845637,0.26266849378863,0.0790859734568588,0.0009205199182033517,0.0019483519187512319,0.011421767957621683,0.010501248039418331,5.862271516606866,0.4724608061532055,0.00950624847125701,0.006773048902814129
4,1.0,0.13144382178995406,0.021305578899002867,2.305493064575223,0.5536056757025146,0.0009205199182033517,0.0019483519187512319,0.05359104305943715,0.0526705231412338,27.505833285901222,0.4724608061532055,0.03369826324458661,0.036509708395691655
5,0.0,0.9709086212162353,0.0006426487685064871,0.006238865486437144,0.0016616665103286238,0.0009205199182033517,0.0019483519187512319,0.0018916716750787652,0.0009711517568754134,0.9709086212162353,0.4724608061532055,0.0008237758641458988,0.002325753434530259
5,0.25,1.055471946025779,0.0008589082782285315,0.046097179982607234,0.007058051861300062,0.0009205199182033517,0.0019483519187512319,0.00020881342750428902,-0.0007117064906990628,0.10717438954155929,0.4724608061532055,0.001475407733970684,0.003193066424052579
5,0.5,0.7993423461070317,0.005509114294844745,0.23120386526160785,0.06992964978555684,0.0009205199182033517,0.0019483519187512319,0.0004413101081250386,-0.00047920981007831316,0.2265043105805495,0.4724608061532055,0.011510871324206208,0.010418791321674597
5,0.75,0.020642779367052798,0.0387583047792452,4.991393350828607,0.86877669409439,0.0009205199182033517,0.0019483519187512319,7.294848677141474e-05,-0.000847571431431937,0.03744112450597222,0.4724608061532055,0.08377004358619634,0.06343059903867994
5,1.0,7.474484031939938e-05,0.040567730954301384,12.34041769553043,0.9835994270536847,0.0009205199182033517,0.0019483519187512319,2.076659871275851e-06,-0.0009184432583320759,0.0010658546083434743,0.4724608061532055,0.08825657876872295,0.0669864375410961
6,0.0,0.9709086212162353,0.0006426487685064871,0.006238865486437144,0.0016616665103286238,0.0009205199182033517,0.0019483519187512319,0.0018916716750787652,0.0009711517568754134,0.9709086212162353,0.4724608061532055,0.0008237758641458988,0.002325753434530259
6,0.25,1.1039746422920864,0.0013821142830686072,0.12038069411731381,0.012576040389984743,0.0009205199182033517,0.0019483519187512319,5.8960215088132795e-05,-0.000861559703115219,0.030261583916483883,0.4724608061532055,0.0020535690008159375,0.003982832696064885
6,0.5,0.6663356565040547,0.0059320699009144315,0.35636423671803874,0.0835920695399634,0.0009205199182033517,0.0019483519187512319,0.0002982096986288011,-0.0006223102195745506,0.15305741009043905,0.4724608061532055,0.007919095632553474,0.009549488522762693
6,0.75,0.019707238706432647,0.03298002987945318,4.351478617824792,0.7513704274550448,0.0009205199182033517,0.0019483519187512319,0.00011843388960929653,-0.0008020860285940552,0.060786703094790506,0.4724608061532055,0.06712370308832906,0.053993586231339964
6,1.0,8.737583072206493e-05,0.03953153257169671,10.354289448925279,0.9350240353080888,0.0009205199182033517,0.0019483519187512319,8.11813552944312e-06,-0.0009124017826739086,0.004166667967584789,0.4724608061532055,0.08522294748127494,0.06539877405865972
