block_len,alpha,cluster_rmse,cluster_rmse_baseline_iid,cluster_rmse_reduction_vs_iid,parity_rmse,parity_rmse_baseline_iid,parity_rmse_reduction_vs_iid
3,0.0,0.0008237758641458988,0.001916109906216982,0.001092334042071083,0.002325753434530259,0.003724175801375414,0.0013984223668451552
3,0.25,0.0004270513535354823,0.001916109906216982,0.0014890585526814997,0.00262762675373418,0.003724175801375414,0.0010965490476412339
3,0.5,0.0004974218307138795,0.001916109906216982,0.0014186880755031024,0.0025911864109335395,0.003724175801375414,0.0011329893904418746
3,0.75,0.0015471973593084117,0.001916109906216982,0.0003689125469085702,0.0023519498372142136,0.003724175801375414,0.0013722259641612005
3,1.0,0.00567835332263111,0.001916109906216982,-0.003762243416414128,0.001937731738746458,0.003724175801375414,0.0017864440626289562
4,0.0,0.0008237758641458988,0.001916109906216982,0.001092334042071083,0.002325753434530259,0.003724175801375414,0.0013984223668451552
4,0.25,0.0008989714381219797,0.001916109906216982,0.0010171384680950023,0.0028030012385438507,0.003724175801375414,0.0009211745628315633
4,0.5,0.0011375167404870253,0.001916109906216982,0.0007785931657299566,0.0027007301488340477,0.003724175801375414,0.0010234456525413664
4,0.75,0.00950624847125701,0.001916109906216982,-0.0075901385650400275,0.006773048902814129,0.003724175801375414,-0.003048873101438715
4,1.0,0.03369826324458661,0.001916109906216982,-0.031782153338369624,0.036509708395691655,0.003724175801375414,-0.03278553259431624
5,0.0,0.0008237758641458988,0.001916109906216982,0.001092334042071083,0.002325753434530259,0.003724175801375414,0.0013984223668451552
5,0.25,0.001475407733970684,0.001916109906216982,0.000440702172246298,0.003193066424052579,0.003724175801375414,0.000531109377322835
5,0.5,0.011510871324206208,0.001916109906216982,-0.009594761417989225,0.010418791321674597,0.003724175801375414,-0.006694615520299183
5,0.75,0.08377004358619634,0.001916109906216982,-0.08185393367997937,0.06343059903867994,0.003724175801375414,-0.059706423237304525
5,1.0,0.08825657876872295,0.001916109906216982,-0.08634046886250597,0.0669864375410961,0.003724175801375414,-0.06326226173972067
6,0.0,0.0008237758641458988,0.001916109906216982,0.001092334042071083,0.002325753434530259,0.003724175801375414,0.0013984223668451552
6,0.25,0.0020535690008159375,0.001916109906216982,-0.00013745909459895555,0.003982832696064885,0.003724175801375414,-0.00025865689468947085
6,0.5,0.007919095632553474,0.001916109906216982,-0.006002985726336492,0.009549488522762693,0.003724175801375414,-0.005825312721387279
6,0.75,0.06712370308832906,0.001916109906216982,-0.06520759318211208,0.053993586231339964,0.003724175801375414,-0.05026941042996455
6,1.0,0.08522294748127494,0.001916109906216982,-0.08330683757505797,0.06539877405865972,0.003724175801375414,-0.06167459825728431
